00:00:09:20 00:00:14:07 作为一个母亲，看到这么多霎哈嘉瑜伽士，我感到很自豪
00:00:18:03 00:00:19:24 你们要明白
00:00:21:15 00:00:24:20 即使新人的数量不多
00:00:25:18 00:00:27:00 可能很少
00:00:28:15 00:00:34:22 但你们要知道，你们每一位
00:00:36:11 00:00:38:10 都是觉醒的灵
00:00:40:23 00:00:44:14 每一位都成长了不少
00:00:45:13 00:00:50:01 你们自己都能创造一个核心
00:00:51:08 00:00:57:19 在集体成长后
00:00:59:18 00:01:09:08 现在种子已经各自长成强壮的幼芽
00:01:09:19 00:01:17:19 绝对能把他们移植到不同的地方
00:01:18:07 00:01:19:17 去成长成就
00:01:19:23 00:01:22:08 因为你们每位都是先知
00:01:24:09 00:01:26:13 我不知道你们有没有意识到这一点
00:01:27:19 00:01:30:22 当然，你们取得觉醒的喜乐
00:01:31:08 00:01:33:18 觉醒的极乐，你们拥有一切
00:01:33:24 00:01:35:23 你们要继续成长
00:01:37:05 00:01:39:21 缓慢而稳定地，你们已经达到了
00:01:41:01 00:01:45:05 现在你们已经长成大树
00:01:47:17 00:01:53:04 每一位都是那么重要，那么有力量
00:01:53:14 00:01:57:21 我知道很少人加入，以集体的途径
00:01:58:24 00:02:01:11 开始时，你感到很难
00:02:01:18 00:02:02:22 应付他们
00:02:03:01 00:02:05:05 因为他们未完全成长
00:02:06:03 00:02:11:23 仍未真正
00:02:12:21 00:02:17:01 明白自己的重要
00:02:18:00 00:02:21:03 但你们全都既要明白自己的重要
00:02:22:23 00:02:25:20 亦要明白你们取得什么素质
00:02:26:21 00:02:30:00 在所谓冒牌的机构
00:02:30:08 00:02:33:22 以教堂为例
00:02:35:14 00:02:37:04 只有一个牧师
00:02:40:20 00:02:42:15 整个地区只有一个牧师
00:02:42:21 00:02:45:10 虽然他对它一无所知，不要紧！
00:02:46:17 00:02:48:18 在那里，教会甚至仍然
00:02:49:00 00:02:50:24 只委派授权一个人
00:02:51:10 00:02:55:15 每个人都听从这个人
00:02:57:17 00:03:01:24 在这里，你们每一位都充满活力
00:03:02:11 00:03:06:07 每一位都有能力作精彩的演讲
00:03:08:03 00:03:11:18 当然，你们每一位都能妥善恰当地给人自觉
00:03:12:02 00:03:13:14 这是毋庸置疑
00:03:13:23 00:03:16:04 你们要在自己的组别内
00:03:17:04 00:03:20:15 尝试自立
00:03:21:13 00:03:23:09 在你们的组别内试试
00:03:23:16 00:03:27:14 想想你可以发挥的各个层面
00:03:27:22 00:03:29:07 因为现在你们已经准备就绪
00:03:29:14 00:03:34:00 你们已成为先知
00:03:34:07 00:03:37:00 不用依赖任何人
00:03:38:17 00:03:40:25 也不用依赖
00:03:41:04 00:03:43:07 你的同伴才能做到
00:03:43:15 00:03:45:00 你独自也能成就
00:03:45:06 00:03:46:23 虽然你们互相连系
00:03:47:05 00:03:48:24 都明白同一语言
00:03:49:07 00:03:52:23 也已经一起取得真理，全都在一起
00:03:53:05 00:03:55:22 但你们要个别拥有这种动力
00:03:56:03 00:03:58:11 你们每个人在自己的领域
00:03:58:16 00:04:00:23 以自己的方式也能把它成就
00:04:01:05 00:04:02:24 因为你了解明白霎哈嘉瑜伽的一切
00:04:05:11 00:04:09:11 那些肤浅的人未必知道
00:04:09:17 00:04:12:09 他们可能仍用理性来分析一些事物
00:04:12:16 00:04:14:14 没关系，他们会醒过来
00:04:15:10 00:04:18:04 只要你们仍关注着
00:04:18:10 00:04:19:22 你们都是先知
00:04:20:18 00:04:24:01 作为先知，你们要站起来
00:04:24:10 00:04:26:14 无论在什么地方，都要谈霎哈嘉瑜伽
00:04:26:21 00:04:29:21 告诉他们：「这发生在我们身上，这就是光
00:04:30:03 00:04:31:04 我们知道一切。」
00:04:31:15 00:04:34:12 我是说你们对它没有任何怀疑，对吗？
00:04:36:11 00:04:40:11 但问题是你感到
00:04:41:11 00:04:43:13 其他人未必了解
00:04:43:21 00:04:46:14 他们是愚昧的，是愚蠢的
00:04:47:13 00:04:50:00 或他们是自我中心，又或具侵略性
00:04:50:07 00:04:52:14 他们会这样那样对待你
00:04:54:22 00:04:59:18 这是事实，但你要知道
00:05:00:03 00:05:02:16 不单你一个人在作战
00:05:02:24 00:05:05:20 全世界有
00:05:06:03 00:05:09:00 数千人懂你的语言，懂你懂得的
00:05:09:07 00:05:11:08 他们都知道同样的事情
00:05:12:06 00:05:14:20 你们并非独自在奋斗作战
00:05:17:08 00:05:21:01 一旦你知道这种情况，你会惊讶于
00:05:21:08 00:05:23:24 有多少力量开始流向你
00:05:26:03 00:05:27:24 你越想它
00:05:28:07 00:05:30:23 越对你的真我作静坐
00:05:31:23 00:05:35:01 便会越了解自己是先知
00:05:36:00 00:05:38:22 亦更能看到那些特点…
00:05:39:04 00:05:41:16 我能在在座各位身上看到很多我的特点
00:05:42:18 00:05:46:08 在每一个范畴，在各行各业
00:05:46:15 00:05:47:21 无论你身处何方
00:05:48:04 00:05:50:20 都要谈及它，向人介绍它
00:05:52:13 00:05:57:07 还有几件事情，我们为霎哈嘉瑜伽
00:05:57:14 00:06:01:05 为霎哈嘉瑜伽士订立了一些规定守则
00:06:01:12 00:06:05:12 只为要看看有多少人是肤浅的
00:06:05:20 00:06:07:18 有多少是成熟的
00:06:09:15 00:06:13:14 这就是为何我们订立了一些规定守则
00:06:13:16 00:06:17:13 因为真正成熟的霎哈嘉瑜伽士
00:06:17:18 00:06:19:24 会毫无困难的接受它们
00:06:20:06 00:06:21:23 他们已经完全处于这个状态
00:06:23:17 00:06:25:14 我们知道
00:06:25:20 00:06:29:02 有各式各样不同类型的人来
00:06:30:01 00:06:33:06 一流的人很容易接受霎哈嘉瑜伽
00:06:33:12 00:06:36:21 他们是一流的人
00:06:37:04 00:06:40:12 他们获得力量，取得力量
00:06:40:19 00:06:42:13 开始运用他们的力量
00:06:42:20 00:06:44:13 他们就是成为那样子
00:06:45:11 00:06:50:12 就如我们已有指环的完整图案
00:06:50:21 00:06:53:07 只要放钻石在那里就行
00:06:53:12 00:06:54:17 你找到钻石 - 好了
00:06:55:13 00:06:57:04 他们就此安顿下来
00:06:57:19 00:07:00:18 有些人即使有了自觉后
00:07:01:00 00:07:02:22 仍然偏向这边那边
00:07:03:03 00:07:05:05 没关系，他们都会醒过来的
00:07:06:00 00:07:09:10 但我要说，一流的人的人数
00:07:09:16 00:07:11:06 仍然颇多
00:07:12:09 00:07:15:12 我的意思是我能告诉你，我认识很多导师
00:07:15:17 00:07:18:03 是真正的灵性导师，并非这些人 – 忘掉这些不真实的
00:07:18:09 00:07:20:08 忘掉这些冒充的 - 你却连真的导师也忘掉
00:07:20:14 00:07:22:17 没有一位像那样子
00:07:22:23 00:07:24:19 一个也没有
00:07:25:01 00:07:27:24 如 Gagangad Maharaj，他很坦白的告诉我
00:07:28:22 00:07:30:24 我说：「为何你不给他们自觉？」
00:07:31:05 00:07:32:12 他说：「谁给我自觉？
00:07:32:18 00:07:34:15 我要花很大的力气努力等等。」
00:07:34:23 00:07:37:20 我说：「好吧，你的导师给了你自觉
00:07:38:02 00:07:40:09 作为导师，你有责任去给人自觉。」
00:07:40:15 00:07:42:14 他说：「我给了一个人自觉
00:07:42:21 00:07:44:18 花了二十五年时间去洁净他
00:07:44:24 00:07:46:14 洁净了他的额轮，洁净了一切
00:07:46:19 00:07:49:01 给了他自觉。」「他现在在哪里？」
00:07:49:20 00:07:51:12 他说：「母亲，你会有机会遇见他
00:07:51:17 00:07:53:07 你一定要见见这家伙，他十分可怕
00:07:53:14 00:07:57:01 他现在藉着
00:07:57:07 00:07:58:18 追逐伺候女人来赚钱
00:07:59:00 00:08:02:11 二十五年的努力！在得到自觉后！
00:08:02:17 00:08:04:22 他说：「我跟这个人毫无瓜葛。
00:08:07:17 00:08:10:03 这家伙叫Anna Maharaj
00:08:10:09 00:08:12:05 我说：「好吧，如果他来孟买
00:08:12:11 00:08:13:23 我会见见他。」
00:08:15:01 00:08:16:19 他来到孟买。我的一个门徒
00:08:17:01 00:08:18:22 邀请他到家里
00:08:20:24 00:08:22:13 一个颇富有的女士
00:08:22:19 00:08:24:18 她说：「母亲，Anna Maharaj来了
00:08:25:00 00:08:28:11 你说过想见见这个人
00:08:28:17 00:08:30:12 他来了，你会来吗？」
00:08:30:18 00:08:34:11 我到那里，他当然触摸我的双脚等等
00:08:34:17 00:08:37:04 他却在我面前抽烟，试想像！
00:08:37:09 00:08:39:09 他触摸我的双脚后坐下来
00:08:39:15 00:08:43:11 说︰首先他开始说他导师的坏话
00:08:43:17 00:08:45:25 那位花了二十五年为他洁净的人
00:08:46:05 00:08:47:03 你能想象吗？
00:08:47:09 00:08:49:13 我是说你们都很善良；不会说我的坏话！
00:08:50:06 00:08:52:11 我没有花二十五年来为你们洁净
00:08:53:06 00:08:55:11 看看他，他在说他的导师的坏话
00:08:55:17 00:08:58:04 他说：「你看，我的导师
00:08:58:09 00:09:01:12 为何他要来…要来孟买？
00:09:01:17 00:09:03:01 有这个需要吗？」
00:09:03:07 00:09:04:16 因为这家伙在孟买赚钱
00:09:04:22 00:09:08:01 所以他不想他的导师来孟买说他的坏话
00:09:08:06 00:09:09:20 「为何他要来孟买？
00:09:10:01 00:09:11:05 他不应该离开他的地方？
00:09:11:10 00:09:13:13 他在山顶上好端端的
00:09:13:20 00:09:15:16 有需要下来吗？」
00:09:15:22 00:09:17:17 他在东拉西扯一番
00:09:17:24 00:09:19:04 我说：「真的吗？
00:09:19:11 00:09:22:04 这是你的导师，你不应说他的坏话。」
00:09:23:02 00:09:24:09 他说：「但这是事实
00:09:24:15 00:09:26:04 他不需要离开那地方，明白吗？」
00:09:27:02 00:09:28:16 他仍在抽烟
00:09:30:16 00:09:32:01 我说：「好了，我要走了。」
00:09:32:09 00:09:34:17 他身边有很多女士
00:09:34:24 00:09:36:10 为他按摩双脚，诸如此类
00:09:36:17 00:09:40:17 他饮很多牛奶，自得其乐，抽烟
00:09:40:23 00:09:44:24 以高傲的态度向他的
00:09:45:06 00:09:47:12 所谓门徒说话
00:09:47:19 00:09:50:02 可怜的人，他们是单纯的人
00:09:51:02 00:09:52:17 我说：「好了，我现在要走了
00:09:53:21 00:10:00:09 你就点上… 
00:10:02:02 00:10:07:16 我会在你的前额点上一些朱砂
00:10:07:23 00:10:10:15 我拿了一些朱砂点在他的前额上
00:10:11:10 00:10:14:05 他的额轮在燃烧，噢！
00:10:14:10 00:10:16:10 我的手指也像在燃烧！
00:10:16:15 00:10:18:16 我说：「就是这样。」
00:10:18:22 00:10:21:10 我说：「好吧，现在你可以吗？我要走了
00:10:21:16 00:10:23:08 你点一些在我的前额上。」
00:10:23:14 00:10:27:00 我把他的手指往内吸着，他的手指不能移动
00:10:27:06 00:10:30:06 就像这样，很…
00:10:33:13 00:10:34:22 他说：「放开我，放开我
00:10:35:04 00:10:36:23 母亲。对不起，对不起！」
00:10:37:02 00:10:40:06 我说︰「现在！你承诺不再说你的导师坏话
00:10:40:12 00:10:41:19 我才放开你。」
00:10:42:00 00:10:44:08 他说：「好吧，好吧，好吧！
00:10:44:14 00:10:46:01 请放开我！
00:10:46:08 00:10:47:24 我便放开他的手指
00:10:49:10 00:10:53:12 现在看看，这个在场的女霎哈嘉瑜伽士
00:10:53:18 00:10:56:03 在那么多问题中解脱出来
00:10:56:10 00:10:59:03 因为她有异常的洞察力
00:11:00:17 00:11:05:06 他向她撒了谎，谎话连篇
