00:00:35:12 00:00:37:22 灵将我们整合 ＂奥地利维也纳
00:00:55:04 00:01:05:12 第四次公开讲座 1982年9月30日
00:03:30:10 00:03:35:16 我向所有追求真理的人致敬
00:03:40:16 00:03:42:14 在之前的讲座
00:03:43:05 00:03:47:03 我告诉了你们
00:03:47:19 00:03:54:22 位于下半身的能量中心
00:03:59:23 00:04:04:06 今天我想讲述其余三个
00:04:05:06 00:04:11:07 在这儿、这儿和这儿的能量中心
00:04:14:19 00:04:20:21 这些能量中心对人类都很重要
00:04:22:03 00:04:28:06 当人类抬起头
00:04:28:19 00:04:33:19 这个被称为喉轮的能量中心
00:04:39:11 00:04:43:18 建立了一个新的空间向度
00:04:45:00 00:04:48:08 它有十六块花瓣
00:04:51:11 00:04:53:20 彰显在我们的交感神经
00:04:54:04 00:04:55:17 和副交感神经系统
00:04:56:03 00:04:59:15 十六个神经丛
00:05:03:16 00:05:08:22 照顾我们的眼睛、鼻子、喉咙
00:05:12:19 00:05:15:14 和舌头
00:05:16:14 00:05:18:20 我们的眼睛、部分眼睛
00:05:21:01 00:05:25:03 和整个面部的表情
00:05:25:19 00:05:31:03 当人是自我取向，他会像这样仰起头
00:05:34:21 00:05:36:23 当他是超我取向
00:05:37:12 00:05:41:10 他就会像这样垂下头
00:05:43:19 00:05:47:22 这个能量中心对人类
00:05:48:07 00:05:50:22 对霎哈嘉瑜伽都是极之重要
00:05:54:06 00:05:58:22 因为双手在霎哈嘉瑜伽扮演着重大的角色
00:06:01:05 00:06:04:09 用手来表达是宇宙的语言
00:06:04:09 00:06:07:23 这种表达方法是最好的。就如盲人
00:06:08:06 00:06:11:02 聋哑的人，对他们来说
00:06:11:12 00:06:14:16 最好用双手
00:06:21:11 00:06:25:02 虽然我们移动
00:06:25:13 00:06:31:22 手指和用手势来表达自己，但我们的双手却仍未得到启发
00:06:37:18 00:06:40:07 当这个能量中心获得启发
00:06:41:03 00:06:46:15 我们的双手也受到启发
00:06:49:23 00:06:51:12 这个能量中心有两边
00:06:51:21 00:06:55:15 一是在右，一是在左
00:06:58:08 00:07:05:13 当人感到内疚，左边的能量中心便会有阻塞
00:07:08:22 00:07:13:06 阻碍灵量的上升
00:07:15:03 00:07:18:12 因此我经常要求西方的求道者
00:07:18:23 00:07:26:17 先在心里说：「母亲，我并无内疚感。」
00:07:30:18 00:07:36:08 我们这些思想制约，是来自
00:07:37:18 00:07:40:05 所谓的宗教
00:07:40:19 00:07:43:13 所谓心理学家
00:07:44:05 00:07:47:06 和一些我们年幼时
00:07:47:14 00:07:50:05 照顾我们的人
00:07:53:23 00:07:57:23 当父母对物质性的东西很看中
00:08:02:15 00:08:05:21 时常向孩子大叫或纠正他们，说：
00:08:06:06 00:08:08:09 「别弄脏毯子，别弄脏这个
00:08:08:21 00:08:12:21 别弄脏那个。」
00:08:16:22 00:08:23:11 内疚感就是这样在我们心里形成
00:08:25:05 00:08:28:03 当我们在学校，在大学成长
00:08:28:12 00:08:33:14 这种内疚感可以很牢固地在我们内里形成
00:08:39:03 00:08:42:01 要以极大的爱心和
